"STATION","NAME","DATE","ACMC","ACMH","ACSC","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-01",,"  100",,"  100",,," 1836","0.00",,"0.0","0.0",,"29","28",,"  290",,,"  315",,"10.1",,,"15.0","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-02",,"  100",,"  100",,," 1400","0.00",,"0.0","0.0",,"30","28",,"  230",,,"  315",,"12.1",,,"16.1","    1",,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-03",,"  100",,"  100",,," 1924","0.00",,"0.0","0.0",,"34","29",,"   80",,,"   90",,"14.1",,,"17.2","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-04",,"  100",,"  100",,," 0630","0.41",,"4.2","1.0",,"31","26",,"   60",,,"   45","0.4","16.1",,,"23.0","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-05",,"  100",,"  100",,," 1248","0.00",,"0.3","4.0",,"26","19",,"  290",,,"  270","0.4","16.1",,,"21.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-06",,"  100",,"  100",,," 2236","0.00",,"0.0","4.0",,"39","20",,"  210",,,"  180","0.3","23.0",,,"41.4",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-07",,"   70",,"   70",,," 0030","0.00",,"0.0","3.0",,"39","18",,"  230",,,"  225",,"29.1",,,"43.6",,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-08",,"   90",,"  100",,," 0442","0.00",,"0.0","1.0",,"27","16",,"   80",,,"  315",,"8.9",,,"15.0",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-09",,"   50",,"   40",,," 0742","0.00",,"0.0","1.0",,"31","19",,"   40",,,"   45",,"14.1",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-10",,"   80",,"  100",,," 2306","0.00",,"0.0","1.0",,"49","18",,"  180",,,"  180",,"17.9",,,"26.4",,,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-11",,"   70",,"  100",,," 1436","1.33",,"0.0","0.0",,"55","26",,"  300",,,"  315",,"34.9",,,"44.7","    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-12",,"   60",,"  100",,," 0300","0.00",,"0.0","0.0",,"27","17",,"  290",,,"  270",,"17.9",,,"32.2",,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-13",,"   90",,"   80",,," 1406","0.02",,"0.0","0.0",,"44","23",,"  190",,,"  180",,"13.0",,,"20.8",,,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-14",,"  100",,"  100",,," 0006","0.09",,"0.0","0.0",,"42","37",,"   90",,,"  180",,"8.9",,,"13.9","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-15",,"  100",,"  100",,," 1400","0.00",,"0.0","0.0",,"45","31",,"  120",,,"  135",,"14.1",,,"21.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-16",,"  100",,"  100",,," 1254","0.00",,"0.0","0.0",,"54","39",,"  210",,,"  225",,"17.9",,,"25.3","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-17",,"   80",,"   60",,," 1148","0.00",,"0.0","0.0",,"54","36",,"  250",,,"  270",,"21.0",,,"28.9",,,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-18",,"   50",,"   70",,," 1530","0.00",,"0.0","0.0",,"42","26",,"  340",,,"  315",,"8.1",,,"11.4","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-19",,"   80",,"   70",,," 0612","0.00",,"0.0","0.0",,"42","23",,"  350",,,"  360",,"8.1",,,"12.8","    1","    1",,,,,,"    1",,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-20",,"   70",,"   80",,," 0930","0.06",,"0.2","0.0",,"40","27",,"   40",,,"   45",,"13.0",,,"15.0","    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-21",,"   50",,"   60",,," 1318","0.00",,"0.0","0.0",,"36","16",,"  190",,,"  180",,"10.1",,,"13.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-22",,"  100",,"  100",,," 2306","0.00",,"0.0","0.0",,"39","30",,"  310",,,"  270",,"17.9",,,"25.3",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-23",,"   80",,"   90",,," 1554","0.00",,"0.1","0.0",,"30","12",,"  300",,,"  315",,"21.0",,,"30.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-24",,"   90",,"  100",,," 1424","0.14",,"0.3","0.0",,"39","11",,"  250",,,"  225",,"23.0",,,"33.3",,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-25",,"   90",,"   80",,," 1430","0.06",,"0.0","0.0",,"48","29",,"  190",,,"  315",,"19.9",,,"26.4","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","1980-01-26",,"   80",,"   70",,," 1224","0.00",,"0.0","0.0",,"35","24",,"   70",,,"   90",,"13.0",,,"17.2",,,,,,,,,,,,,,,,,,,,,
